Nota,HaQuantoTempo,TipoRefeicao,Preco,Comentario,Comida,Serviço,Ambiente,Barulho,Espera,tamanho_texto
5,8 meses atrás,R$ 20–40,Não informado,"a 89  é uma daquelas cafeterias hypadas que a gente vai com o pé atrás, achando que pode ser só mais uma... mas que surpresa maravilhosa! pedi o choux cream e fui imediatamente transportada para o japão, mesma textura, mesmo sabor, uma verdadeira explosão de nostalgia. foi, sem dúvidas, o mais perfeito que já comi.apesar da fama e do movimento, o atendimento foi super ágil: esperei no máximo 2 minutos na fila. vale cada minuto e cada mordida. recomendo demais!",5,5,5,"Nível alto de barulho, mas ainda é possível conversar",Não informado,464
5,10 meses atrás,Refeição no local,Café da manhã,"resumo: recomendadíssimo pra tomar um café com um lanchinho.excelente local pra tomar café da manhã ou fazer um lanchinho na liberdade. recomendo particularmente o karê pan (se quiser algo salgado) e o choux de matcha (se quiser algo doce). mas tudo que eu comi até hoje lá estava ótimo.pra quem realmente gosta de café (sem açucar), as bebidas de café são ótimas, inclusive os básicos drip e espresso.o local em si é arrumadinho, bonito, mas nada extraordinário. vale ressaltar que todos os funcionarios são ótimos e bem educados, as mesas estão sempre limpas e tudo funciona de forma ágil. o esquema de retirar comidas e bebidas é um pouco confuso e mal organizado.e não é barato, você vai gastar, no mínimo, r$25~30 pra tomar um café e um salgado ou doce.ainda assim, vale super a pena mesmo se estiver um pouco cheio.",5,4,4,Não informado,Não informado,821
4,4 meses atrás,Não informado,Não informado,"a comida é ótima e os preços ok, mas o lugar é bem cheio, o que prejudica um pouco a experiência, eles não controlam lotação, só deixam as pessoas entrar 😂",5,4,4,Não informado,Não informado,155
2,5 meses atrás,Outro,Não informado,"primeira vez, não volto mais. não entendo pq é tão cheio. o lugar desorganizado, confuso pra fazer o pedido e ainda te tratam mal quando vc entra na fila errada. são paulo é grande demais com muitas opções pra passar por essa humilhação por um café. comida bonita mas não é gostosa. nada especial.",1,1,1,Não informado,Não informado,297
5,3 meses atrás,Brunch,R$ 40–60,"doces e salgados fantásticos.... variedades que até dificulta a escolha...o ambiente é sempre cheio nos finais de semana. difícil pedir os itens e achar lugar para comer no interior da loja, mas com paciência vale a pena. doces 25,00 .... opções veganas.o atendimento é devagar... devido a quantidade de gente...",5,3,4,"Nível alto de barulho, mas ainda é possível conversar",De 10 a 30 min,312
3,8 meses atrás,R$ 60–80,Não informado,"fui na hora que abriu, já tinha fila pra entrar, uma filinha pra pegar o doce ou salgado e outra pra bebidas. o atendimento foi bom e até rápido para o tanto de gente. pedi dois capuccinos e o sanduíche com salmão defumado com queijo de búfala. o sanduíche estava muito bom, capuccino nada demais (só um café superfaturado) no geral, sinceramente, não vale a visita. cafeteria muito hypada da internet. a comida com certeza é boa, mas pra mim não vale o preço e a fila de espera. tem diversas outras cafeterias ao lado que dão uma experiência parecida.",4,5,3,Não informado,Não informado,552
4,10 meses atrás,Refeição no local,Jantar,"fomos numa segunda-feira, então filas do lado de fora, como certos comentários salientam, não foram um problema. havia, sim, muita gente dentro da loja. de duas das três vezes que fomos, as mesas estavam todas ocupadas.achei a loja bonita e os atendentes foram cordiais.nas visitas comi minipizza, croissant, coxinha e o choco ganache, que pra mim foi o mais fabuloso de todos.minha amiga experimentou cone de nutella, frappé de matchá, o new york roll de pistache e um sanduíche de carne com misso, que foi o que ela mais gostou.achei as opções de doces mais legais e variadas do que as de salgados.",4,5,5,Não informado,Não informado,600
4,5 meses atrás,R$ 20–40,Não informado,"a torta de frutas vermelhas é maravilhosa! infelizmente a bebida demorou quase meia hora para sair, pois o atendimento não fez o pedido e quando ficou pronta estava horrível... super amarga!",3,3,4,Nível moderado de barulho,Não informado,190
5,7 meses atrás,R$ 20–40,Não informado,"cafeteria e confeitaria incrível! embora sempre muito cheia, o atendimento é rápido e de muita qualidade. comprei uns biscoitos para presentear e uma bebida incrível (eu me esqueci o nome agora). se vai até o bairro liberdade, o 89°c coffee station é parada obrigatória!",5,5,5,"Nível alto de barulho, mas ainda é possível conversar",Não informado,270
5,8 meses atrás,R$ 40–60,Não informado,"apesar do movimento intenso nos fins de semana, o espaço é amplo e o atendimento surpreende pela agilidade. a comida é ok, nada muito memorável. pedi um folhado de três queijos que veio bem gorduroso. em compensação, o café é muito bom, e o cinnamon roll de pistache é simplesmente delicioso, sempre peço! o grande destaque da casa sem dúvida sao os doces, tem uma variedade enorme e capricho na execução. vale muito a visita.",4,5,4,Não informado,Não informado,426
4,2 semanas atrás,Não informado,Não informado,"fui no dia 08/03/2026, por volta das 12h30. o lanche estava muito bom, bem preparado e saboroso. porém, achei o atendimento da moça do café um pouco estranho naquele momento, como se estivesse procurando algum motivo para discutir. pode ter sido apenas um dia mais estressante, mas achei o atendimento pouco cordial. no geral, o lanche e o café foram ótimos.",5,3,5,Não informado,Não informado,358
4,um mês atrás,R$ 20–40,Não informado,tem uma variedade incrível de comidas. único problema é que fica muito cheio.,5,5,5,Não informado,Não informado,77
5,Editado um ano atrás,Refeição no local,Café da manhã,"essa cafeteria na liberdade é simplesmente incrível! o ambiente é acolhedor, com uma decoração charmosa e muito bem cuidada, além de ser impecavelmente limpo, o que faz toda a diferença. o espaço é ideal tanto para um café tranquilo quanto para uma pausa com amigos ou até mesmo para quem gosta de trabalhar em um lugar agradável.o cardápio é um destaque à parte, oferecendo uma grande variedade de opções: doces, salgados, cafés, chás e muito mais. cada item é preparado com evidente atenção à qualidade e aos detalhes, garantindo sabores que surpreendem. seja para quem adora um café especial, um chá aromático ou um doce irresistível, aqui você encontra algo que agrada a todos os gostos.o atendimento é outro ponto forte. a equipe é super atenciosa e eficiente, sempre disposta a ajudar na escolha do que melhor combina com seu momento. você faz o pedido e eles preparam tudo com capricho e agilidade, garantindo uma experiência impecável do início ao fim.por ser tão especial, a cafeteria é muito procurada, então a dica é chegar cedo para evitar filas. a qualidade e o ambiente acolhedor fazem dela um verdadeiro sucesso, e a alta demanda é apenas reflexo disso.na região, há outras opções, mas nenhuma se compara a esta. é, sem dúvida, a melhor da área, e merece ser visitada por quem valoriza um bom café em um espaço diferenciado. recomendo de olhos fechados!03/11/2024",5,5,5,Não informado,Não informado,1378
5,8 meses atrás,R$ 40–60,Não informado,"gostei demais da 89! tem um fluxo muito grande de pessoas, mas ainda assim o atendimento consegue ser muito organizado e de qualidade, facilitado pelo pager (você pega um dispositivo que avisa quando seu pedido fica pronto, dessa forma pode se acomodar na mesa com tranquilidade). funcionários simpáticos, comida de qualidade com preço justo e ambiente muito agradável.tem vários doces finos e personalizados e um cardápio muito vasto também.",5,5,4,Nível moderado de barulho,De 10 a 30 min,442
4,5 meses atrás,Não informado,Não informado,"ambiente no térreo e entrada meio cheio e caótico, mas no fundo e no andar superior é mais tranquilo.experimentei um sorvete misto de matcha e baunilha no croissant (18 reais) e achei diferente, gostoso, mas não surpreendente, além de ser pouco doce.",4,5,5,Não informado,Não informado,250
5,um mês atrás,Brunch,R$ 120–140,"mesmo cheio o atendimento é rápido e eficiente, tudo que eu peço nessa cafeteria é gostoso. adoro os ny rolls enfeitados fofinhos mas todos uma delícia.",5,5,5,Nível moderado de barulho,Até 10 minutos,152
5,7 meses atrás,R$ 20–40,Não informado,"cara, o roll de pistache é dos deuses! vale a pena. é grande e dividimos em duas pessoas. meu sobrinho comprou o de brigadeiro e estava bem gostoso também! a parte boa é que dá para comprar os rolls do lado de fora (sem ter que pegar aquele vuco vuco de dentro do restaurante).obs: voltamos depois pra “almoçar”. nada de muito bom nos lanches, mas o roll vale muito, muito a pena.",5,2,4,Não informado,Sem espera,380
4,11 meses atrás,R$ 20–40,Não informado,"a 89 coffee foi minha cafeteria favorita durante muito tempo. devo já ter ido na cafeteria pelo menos umas 20x kkkk.o atendimento é ótimo, mesmo com muitos clientes, os atendentes tentam te dar toda assistência.muita variedade de comida, não existe outra cafeteria com tanta variedade de doces e salgados, além de doces temáticos, salgados e sanduíches asiáticos e cafés de ótimo sabor e preparo. além disso, estão sempre renovando com doces e salgados novos que talvez apelas lá tenha essa opção para comer.o preço, comparado com outras padarias/cafeterias, é muito bom e eles aceitam ticket/alelo/sodexo (vale refeição).o meu único porém é que comecei a deixar de ir infelizmente pela quantidade de pessoas e o local. a liberdade está cada vez mais cheia e por isso há um incomodo para ir a cafeteria.recomendo muito o karepan e a torta de nutella com morango (que as vezes pode estar em falta pela grande procura).",5,5,3,Não informado,Não informado,917
5,11 meses atrás,Refeição no local,Café da manhã,"fomos no domingo pela manhã, tinha fila para entrar, porém durou no máximo uns 10 minutos. o problema foi la dentro, onde precisamos escolher rapidamente o que queremos de comida e não pensamos direito 🥲 recomendo ja ir com o cardápio visto e ja saber o que quer comer kk. as comidas são bem gostosas e o preço condiz com o local e a fama que o café tem!os doces são um show a parte, bem bonitos! e os atendentes foram queridos por mais que o atendimento tenha sido na pressa.",5,5,4,Não informado,Não informado,476
5,um ano atrás,Refeição no local,Café da manhã,"cafeteria super famosa na liberdade, está sempre cheia, mas o atendimento é rápido e gentil. conta com uma variedade enorme de doces, bebidas e salgados, sendo possível comprar ny rolls pela janela para levar sem entrar e encarar a fila, mas recomendo comer no ambiente - são dois andares com bastante lugar.é difícil escolher dentre as opções, que atendem desde os gostos mais clássicos até as criações mais inusitadas. escolhi a torta frangipane, que é de cocada com noz caramelizada e estava deliciosa. uma das que mais sai na casa, o sabor é bem equilibrado e leve, nem muito doce, mas cremosa e crocante.só que o destaque para mim, que gosto de coisas mais doces, foi o ny roll de cookie recheado de doce de leite. o cookie estava super macio e o chocolate derretia por dentro, além de um toque de flor de sal que fez a diferença. o doce de leite era de qualidade e nunca vi um ny roll tão recheado… recomendo muito!",5,5,4,Não informado,Não informado,921
5,6 meses atrás,Brunch,R$ 20–40,"89°c é com certeza uma das cafeterias mais aconchegantes e saborosas que eu fui, os preços variam entre 20$ - 39$, vale muito apena, produção nova todo os dias, vc pega uma comanda assim que entra, bastante organizado!",5,4,5,Nível moderado de barulho,De 30 a 60 min,218
4,um ano atrás,Não informado,Não informado,"resumo: surpreendentemente saboroso e rápido, mas atendimento mediano e cafeteria sempre lotada.experiência: peça primeiro a bebida, porque ela é preparada na hora e demanda mais tempo. depois de pedir, vá para a fila dos doces e salgados. o problema aqui é a pressão: os atendentes têm pressa e você mal terá tempo de avaliar as opções e os preços do cardápio. pra mim, isso é um ponto muito negativo. preferiria que eles limitassem a entrada, ao invés de atender na correria.comida: tudo maravilhoso. fiquei surpresa com a diversidade e a qualidade de tudo que pedimos. pegamos três toasts (parma e búfala), um brownie, um sanduíche, um hot-dog, um cookie, um latte e um chocolate quente. tudo ficou r$120. o preço assusta, mas não achei caro pela região e pela qualidade. tudo que provamos era muito saboroso e bem feito. comeria muito mais, de tão gostoso que era!ambiente: como não há limitação de entrada, o espaço fica sempre muito cheio. fomos em um domingo às 9h e conseguimos sentar no balcão com vista para a rua, mas enquanto comíamos, notamos que a cafeteria ficou muito cheia e todas as mesas estavam ocupadas, inclusive com gente comendo em pé. não há espaço suficiente para a quantidade de pessoas que eles recebem.",5,3,4,Não informado,Não informado,1231
5,7 meses atrás,R$ 80–100,Não informado,"estabelecimento muito confortável e as  comidas sempre bem apresentáveis, só volto porque sou apaixonado pelo melon pan (r$8,50) e a torta escocesa do pica-pau (r$19,90). os preços são altos mas compensam a qualidade do produto.a grande lotação incomoda e estraga um pouco a experiência mas como é ponto de referência na liberdade então faz parte. 🚇",5,3,5,"Nível alto de barulho, mas ainda é possível conversar",Não informado,349
3,11 meses atrás,Refeição no local,Café da manhã,"1º- fila do lado de fora2º- fila para comida3º- fila pra bebida (a que mais demorou)4º- tem que subir escadas, mesas só no 2º e 3º andar, se tem problemas de locomoção não aconselho, 2º andar é raro ter mesa disponívelnão sei se pelas filas mas croque monsieur estava duro, gelado e com o bacon crutorrada com manteiga, não vale a pena.ponto positivo, a tortinha de banana estava muito gostosa.café normal, porém entornou uma parte de tão cheio que estava com pessoas se esbarrando na escada.chá de hibisco estava realmente bom",2,4,3,Não informado,Não informado,527
5,7 meses atrás,Café da manhã,R$ 60–80,"espaço: lindo mas lotado! uma funcionária me disse que nas férias sempre fica assim. ok, isso não atrapalhou minha experiência, mas vou voltar num dia mais tranquilo. muita coisa gostosa principalmente as bebidas.",5,4,4,"Nível muito alto de barulho, difícil de ouvir",Não informado,213
4,7 meses atrás,Não informado,Não informado,"89c° station coffee station é um bom lugar na liberdade, em são paulo. recomendo especialmente os seus sanduíches, pois são saborosos, embora eu sugerisse aumentar um pouco a quantidade de molho aplicada neles para realçar ainda mais o sabor.",4,5,2,Não informado,Não informado,242
5,5 meses atrás,Brunch,R$ 80–100,"o lugar é extremamente cheio aos finais de semana, mas vale muito a experiência. gostamos bastante.",5,5,5,"Nível alto de barulho, mas ainda é possível conversar",De 10 a 30 min,99
1,3 meses atrás,Não informado,Não informado,"torta de pistache com blueberry sabor chuchu ou não tem sabor nem do pistache nem do blueberry, mini bolo brownie de chocolate sem sabor de chocolate pura decepção!",1,3,3,Não informado,Não informado,164
2,10 meses atrás,Não informado,Não informado,"o kare pan e choux cream são deliciosos.o ambiente é bem apertado, sendo impossível transitar pela cafeteria sem esbarrar em alguém - isso porque fui durante a semana, que é tranquilo. nos fins de semana deve ser impraticável.o que mais me desapontou foi o serviço: ao sentarmos para comer, constatamos que a soda italiana do meu amigo veio com pouca essência, estava com gosto puro de água com gás. chamamos uma das atendentes para nos auxiliar e a resposta dela foi: “isso não é comigo, vá na cafeteria pra ver se eles resolvem.”simplesmente tirou o corpo fora e se negou a ajudar um cliente, como se nem trabalhasse ali. decepcionante.pra resumir: preços bons e excelentes preparos, a comida é a melhor parte da experiência.o espaço é compacto, mas isso dá pra relevar. o que mais desapontou foi a displicência e o nível do serviço.",5,1,3,Não informado,Não informado,835
4,um ano atrás,Não informado,Não informado,"eu já estava querendo conhecer essa cafeteria há um tempo. e ela me surpreendeu positivamente.geralmente ela é bem cheia! mas, fiquei feliz que consegui entrar. eu adorei a qualidade e o preço dos produtos oferecidos.vale a pena lembrar que o sistema deles funciona assim: tem uma fila para escolher o que comer e outra para o que você vai beber.mas, não é nada que atrapalhe a experiência.o preço justo é outro atrativo! eu super recomendo 😍👌🏻ps- o sanduíche de frango grelhado é um absurdo de gostosooo 😋",5,5,5,Não informado,Não informado,506
5,um mês atrás,R$ 40–60,Não informado,gostamos muito de conhecer a 89°c coffee station. tem alguns lanches diferenciados.é um local muito movimentado.,4,4,4,Não informado,Não informado,112
4,9 meses atrás,Brunch,Não informado,"minha experiência foi boa, achei o doce muito gostoso, café com leite era bom e o que minha amiga pediu eu experimentei e estava delicioso.em relação à comida, não tenho o que falar nota 10/10.pontos que precisam de melhoria urgente:atendimento dos funcionários e melhor organização da fila, pq da forma que vocês operam hoje, a experiência do cliente é horrivel: fila para entrar, fila para pedir o que for comer, fila para pedir o que for beber, fila para pagar, fila para ir ao banheiro, somando todas as filas que eu peguei deu uns 60 minutos só em ""filas"".atendimento também poderia ser melhor, afinal ficar em tantas filas e ser atendido de qualquer jeito para pagar uma conta cara acaba não valendo muito a pena, visto em comparação com outros lugares do mesmo segmento.",5,4,4,Não informado,Não informado,777
5,Editado 5 meses atrás,Brunch,R$ 20–40,"eu adorei conhecer esse lugar. tudo nas vitrines parecia delicioso e com bons preços ! o que eu pedi tmb estava !quando voltar a são paulo, com certeza será uma parada obrigatória !",5,5,5,Nível moderado de barulho,Não informado,181
4,um ano atrás,Refeição no local,Outro,"estive na 89 coffee station em um sábado, e como esperado, o local estava lotado. mesmo com a fila, o atendimento foi rápido e gentil, o que é sempre um ponto positivo. decidimos experimentar o japanese drip coffee (r$ 16,00), que é coado na hario v60. o sabor era excelente e a experiência foi enriquecida com as opções de sobremesas.pedimos a canjica com cobertura de matcha, uma torta de nozes, um chocolate de matcha e um bolinho verde e fofo com recheio de matcha que estava simplesmente divino! foi uma grata surpresa descobrir que todos esses itens harmonizam tão bem com o café.recomendo a visita, especialmente para os amantes de café e matcha. apesar de cheio, o ambiente aconchegante e a qualidade dos produtos fazem valer a pena a espera!",5,4,4,Não informado,Não informado,750
5,2 meses atrás,Outro,R$ 20–40,"fiquei namorando por muito tempo pelo instagram, o new york roll de pistache da 89ºc, até o dia que eu vim pra sp e pude saciar esse desejo rsrsrs",5,5,5,Nível moderado de barulho,Até 10 minutos,146
4,2 meses atrás,Não informado,Não informado,muita gente e o cinamom roll ficou enjoativo de doce após a metade,4,3,3,Não informado,Não informado,66
5,11 meses atrás,Refeição no local,Outro,"quem vai a região da liberdade não pode deixar de conhecer essa cafeteria. local com muitas opções de doces e salgados maravilhosos. por isso sugiro que veja o cardápio com antecedência.o ambiente costuma estar sempre cheio e com dificuldade de encontrar lugar, também devido ao grande movimento não se tem tanto suporte dos funcionários sobre os produtos. os pedidos são feitos de forma muito rápida no balcão, sem muito tempo para decidir dentre todas as opções.",5,4,4,Não informado,Não informado,464
5,5 meses atrás,Brunch,R$ 20–40,"excelente local, mas muito muito cheio!comida boa, café delicioso... vale a pena!",5,4,5,Não informado,De 10 a 30 min,81
5,Editado 7 meses atrás,R$ 40–60,Não informado,"apesar de muuuito concorrida a casa , com um pouco de paciência é possível fazer um bom café da manhã ou um lanche rápido com muitas coisas deliciosas, diferentes e em um ambiente muito bom .",5,5,5,Nível moderado de barulho,Não informado,191
2,um ano atrás,Café da manhã,R$ 40–60,"antes de ir à cafeteria eu pesquisei e vi comentários muito bons. porém, minha experiência não foi boa. achei extremamente caro (o que é normal, já que é uma cafeteria superfaturada), mas a comida não é nada demais. o item salgado que eu pedi estava ok, porém o bolo e o café que pedi estavam horríveis, senti que joguei meu dinheiro fora. no dia anterior tinha ido na we coffee e apesar de também ser cara acho que compensou muito mais.",2,3,4,Não informado,Não informado,437
5,Editado um ano atrás,Refeição no local,Outro,"por estar bem no miolo da região comercial/turística da liberdade, encontra-se sempre cheio, mas a logística de atendimento permite que se consiga receber os pedidos sem muita demora.nas duas vezes em que eu fui, só pedi para comer opções doces e todas estavam muito gostosas (destaco principalmente o short cake de melão e o “leaf”). para beber, gostei muito do green tea latte que, por ter bastante gosto de chá verde, pode acabar não agradando a todos os paladares. os preços são justos no contexto de são paulo e por ser ponto turístico do bairro.",5,5,4,Não informado,Não informado,551
2,4 meses atrás,Não informado,Não informado,"lugar com experiencia mega desagradavel de fila. pouca gente pra atender, num lugar imenso, que poderia certamente rer serviço de mesa e tornar a experiencia agradavel. mas não, é igual tirar uma segunda via do rg no poupatempo.",3,1,1,Não informado,Não informado,228
5,um mês atrás,R$ 40–60,Não informado,"fomos no domingo (22/02) e chegamos por volta das 10h, o local já estava bem cheio e com fila para pegar os doces e salgados mas andou rápido. o croissant de salame é uma delícia e bem recheado de salame e o new york roll de pistache é muito bom também. o cappucino gelado vem em um copo grande e bem gostoso, vale o valor. o único ponto negativo é que por conta da fila, é um pouco difícil de conseguir escolher os salgados, pois quando chegamos de frente deles já fomos chamados para pedir.pedimos 4 itens salgados e duas bebidas, a conta ficou por volta de r$114.acredito que vale a experiência, voltaria com certeza :)",5,5,4,Nível moderado de barulho,Não informado,622
5,um ano atrás,Refeição no local,Almoço,"o lugar é muito bonito, as comidas além de gostosas, são lindas, os atendentes simpáticos, o lugar super cheio (no sábado), a única coisa que peca, é ter apenas 1 banheiro, e termos que ficar muito tempo na fila. de resto vale muito apena a visita. os preços são ok pra alto, porém a qualidade é equivalente e apresentação também.",5,5,4,Não informado,Não informado,330
4,um ano atrás,Não informado,Não informado,"gostei, porém acho que precisaria melhorar a logística. uma fila para as bebidas e outra para as comidas. você vai comer ou beber algo frio.estava cheio, dia de semana por volta das 10h30.croissant de mascarpone divino! porém peguei um new york de pistache ressecado. vou voltar para provar mais opções.",4,4,5,Não informado,Não informado,303
5,um ano atrás,Café da manhã,R$ 40–60,"essa cafeteria você encontra diversidade e muitas coisas diferentes de uma cafeteria comum brasileira. acho que esse é o charme e diferencial.se você tiver paciência,vale a pena ir,ela está sempre movimentada e tem de café filtrado a sorvete de matchá, além dos donuts e sobremesas que você come com os olhos,pois o visual e a forma como é produzido muda tudo nesse lugar.o serviço é através da comanda, assim que você entra você a recebe na catraca e faz seu próprio pedido.o espaço tem 3 níveis: o primeiro onde você escolhe suas bebidas como café,matchá , chás e comidas. o segundo tem balcões com vista para rua e mesas para dois a quatro pessoas, além de refrigeradores com opções de bebidas geladas e o terceiro é mais amplo e onde estão localizados os banheiros.confesso que desejaria que fosse um lugar mais tranquilo e silencioso onde eu pudesse passar mais tempo, mas ele tem o perfil daquela cafeteria que você entra,come, bate um papo e depois vai dar uma volta pelo bairro.impossível de trabalhar ou ler um livro lá.mas isso é devido a sua localização que fica quase em frente à saída do metrô e na esquina.em média o que eu consumo não passa de r$50 reais.vejo que a liberdade está ficando pequena para tantos turistas, finais de semanas, feriados e férias.vocês vão encontrar muitas opções,mas também muita gente circulando pelas ruas.isso não deixa de ser meu lugar favorito em são paulo para você se deliciar com inúmeras opções da cultura asiática.",5,5,3,Não informado,Não informado,1466
4,um ano atrás,Refeição no local,Outro,"fui comer um docinho pós almoço e como sempre estava lotado. o lugar possui dois andares de mesas para sentar, mas mesmo assim é uma batalha. por fim conseguimos um lugar.os doces são lindos e chamam muito a atenção. obviamente escolhi pela aparência. folha verde era recheada com mousse de chocolate e curd de limão. estava gostosa, mas nada fascinante.o alien tinha recheio de chocolate e brigadeiro, esse sim estava fantástico.",4,5,3,Não informado,Não informado,430
5,um ano atrás,Refeição no local,R$ 20–40,"já fui tantas vezes que perdi a conta! continua sendo minha opção principal ao ir na liberdade. ainda me lembro dos primeiros dias da 89, e ela foi uma baita diferença positiva no bairro na época. ela continua melhorando seus docinhos, salgados, bebidas etc, e o ambiente continua com um toque que adoro. a cafeteria enche muito, então é sempre bom aparecer cedo para ter lugar disponível.",5,5,5,Não informado,Não informado,389
4,um mês atrás,Brunch,R$ 80–100,"foi uma experiência satisfatória. é uma cafeteria com um cardápio bem diverso e do pouco que eu experimentei, eu gostei bastante. o preço é um pouco salgado e o local é consideravelmente cheio. dependendo do horário corre risco de não ter mesas disponíveis.",5,4,4,"Nível alto de barulho, mas ainda é possível conversar",Não informado,257
5,8 meses atrás,Outro,R$ 60–80,"⭐⭐⭐⭐⭐ café de altíssimo nível com atmosfera criativa e acolhedora!a 89ºc coffee station é muito mais do que uma cafeteria: é um espaço onde o café é tratado como arte, e cada detalhe da experiência é cuidadosamente pensado para quem ama sabor, estética e aconchego. desde a primeira visita, já dá pra perceber que aqui o padrão é outro — elevado, porém acessível.logo na entrada, o ambiente impressiona: uma mistura harmônica entre minimalismo, design contemporâneo e elementos orientais sutis. tudo é bonito, funcional e acolhedor. o espaço é relativamente pequeno, mas muito bem organizado. ideal para quem quer fazer uma pausa, trabalhar um pouco ou simplesmente apreciar um bom café com calma.agora, vamos ao destaque: o café.a casa trabalha com grãos especiais, moídos na hora, e oferece diversos métodos de preparo: do espresso ao coado no v60, kalita ou aeropress. dá pra perceber que os baristas sabem exatamente o que estão fazendo — são bem treinados, atenciosos e sempre dispostos a explicar os métodos e sugerir opções conforme seu gosto.experimentei um coado no v60 com grãos etíopes e foi excepcional: aroma frutado, acidez equilibrada e final limpo, como manda o manual dos cafés especiais. o espresso também é excelente — encorpado, doce na medida e com crema consistente.outro ponto alto são os doces e salgados artesanais. os croissants são incrivelmente leves e crocantes, com sabor de manteiga de verdade. e o cookie de chocolate com flor de sal é simplesmente viciante — crocante por fora, macio por dentro, e com um equilíbrio perfeito entre o doce e o salgado. combina maravilhosamente com um flat white.pontos fortes:✔️ café de altíssima qualidade, com variedade de métodos e grãos especiais✔️ atendimento técnico, gentil e apaixonado por café✔️ doces e salgados impecáveis (com destaque para os croissants e cookies)✔️ ambiente sofisticado, limpo e confortável✔️ ideal para café com calma, encontros ou trabalho solopontos a considerar:o espaço é pequeno e pode ficar cheio em horários de pico, então se busca tranquilidade, tente ir fora dos horários mais movimentados. e os preços são um pouco acima da média — mas completamente justificados pela qualidade da experiência.conclusão:a 89ºc coffee station é um verdadeiro refúgio para amantes de café de verdade. um lugar onde cada xícara é feita com técnica, carinho e intenção. já entrou na minha lista de cafeterias favoritas da cidade — e sempre que posso, volto para explorar novos grãos e sabores. recomendo de olhos fechados!",5,5,5,Não informado,Sem espera,2507
4,10 meses atrás,Café da manhã,R$ 20–40,"o local é bem localizado, saindo da estação de metrô da linha 1 azul japão-liberdade é possível encontrá-lo na próxima esquina do lado direito (saindo da estação). achei o sistema de pedido de lanches e bebidas um pouco estranho, primeiro você pede um e depois entra na fila pra pedir outro. para quem quer somente um dos dois é prático, mas acaba sendo passos a mais quando quer os dois. o salgado de folheado de frango com requeijão é bem bom e o latte também, acredito que os dois tenha dado em torno de r$35,00. bom para conhecer.",5,3,4,Não informado,Não informado,534
5,um ano atrás,Refeição no local,Outro,"o local é muito legal e diferente. parece que você está em nova york. tem muitas opções de doces, salgados e bebidas. as comidas são saborosas e muito bonitas.possui várias opções vegetarianas e algumas veganas. a coxinha de shimeji estava muito boa. o chocolate quente italiano também é uma delícia, bem denso e também dá pra comer a casquinha. estava um pouco amargo, mas com açúcar ficou ótimo.o atendimento é um pouco confuso porque tem várias filas para cada tipo de comida e o espaço dos pedidos é pequeno. porém os funcionários são muito prestativos. tem mesas no segundo e terceiro andar.",5,4,5,Não informado,Não informado,596
4,2 meses atrás,Brunch,R$ 20–40,"bom ambiente, um pouco apertado mas limpo.tenho hábito de provar o choux cream sabor baunilha; que é bem saboroso por sinal. creme feito com favas de baunilha. o único porém é que o tamanho do produto foi diminuindo ao longo do tempo. uma pena…poderiam ter mantido no mínimo o tamanho inicial que era ok, que me satisfazia por um preço justo. espero que revejam.no mais, o atendimento é ok pelos padrões de hj. nada de excepcional ! pois sei que normalmente a visitação no local é bem cheia. vale ao menos uma visita!",4,4,4,"Nível alto de barulho, mas ainda é possível conversar",Não informado,517
5,10 meses atrás,R$ 20–40,Não informado,"ambiente maravilhoso, especialmente o último andar, que é mais vazio e silencioso. pedi um chocolate quente que estava perfeito e um doce delicioso com mousse de chocolate e limão, tudo muito gostoso e bonito (dava dó de comer!). o biscoito de gengibre é muito fofo e saboroso, assim como os macarons, fica até difícil escolher com tantas opções.verdadeiras obras de arte por todo lado na vitrine, dá vontade de morar na liberdade só pra experimentar tudo nesse café. já quero voltar!",5,5,5,Nível moderado de barulho,Sem espera,484
5,um ano atrás,Refeição no local,Outro,"a 89 coffee station se localiza bem na saída do metrô da liberdade, onde geralmente ocorre a feira da liberdade nos fins de semana. por conta disso, espere um lugar cheio e com muitas filas, porém em dias de semana isso se ameniza bastante! fomos numa segunda-feiras às 14h e estava bem tranquilo, não pegamos nenhuma fila e ainda tinha tudo. existem várias mesas, cadeiras e balcões dispostas pelo estabelecimento, concentradas mais no piso superior.para entrar na loja você pega uma comanda que será usada para todos os pedidos, basta ir até oo balcão, escolher, entregar a comanda para ser escaneada e fazer seu pedido. bem prático.existem diversas opções de salgados, doces e bebidas, porém fomos na intenção de uma sobremesa e optamos pelo croux cream e pelo croissant de chocolate belga, estavam deliciosos e bem recheados.os preços são bem justos pelo que é oferecido, com um custo x benefício excelente!com certeza é um lugar que vale a pena ir, já estamos programando uma nova visita 😋",5,5,5,Não informado,Não informado,994
2,11 meses atrás,Refeição no local,Café da manhã,"experiência decepcionante!a padaria tem fama de ser boa, mas a realidade foi bem diferente. o local é extremamente desorganizado e cheio de filas. para conseguir tomar um café e comer algo, precisei enfrentar quatro filas diferentes, o que achei um absurdo. quando finalmente consegui minha bebida, os lanches já estavam frios.além disso, o sabor deixou a desejar. pedimos salgados e doces, e nenhum deles foi realmente saboroso. esperava muito mais pela reputação do lugar, mas a experiência foi frustrante.infelizmente, não recomendo e não pretendo voltar. a padaria precisa melhorar muito tanto na organização quanto na qualidade dos produtos.",1,1,3,Não informado,Não informado,646
